Date,Closing Price
11/11/2020,17500
12/11/2020,17500
13/11/2020,17800
16/11/2020,17700
17/11/2020,18250
18/11/2020,18400
19/11/2020,18450
20/11/2020,18200
23/11/2020,18700
24/11/2020,18950
25/11/2020,19200
26/11/2020,19150
27/11/2020,19350
30/11/2020,19250
1/12/2020,19400
2/12/2020,19700
3/12/2020,20200
4/12/2020,20050
7/12/2020,20550
8/12/2020,21900
9/12/2020,22700
10/12/2020,22800
11/12/2020,23550
14/12/2020,25150
15/12/2020,25500
16/12/2020,25050
17/12/2020,25050
18/12/2020,26800
21/12/2020,28650
22/12/2020,29600
23/12/2020,28800
24/12/2020,28350
25/12/2020,30300
28/12/2020,32000
29/12/2020,31700
30/12/2020,31500
31/12/2020,33100
4/1/2021,33800
5/1/2021,33750
6/1/2021,34000
7/1/2021,34400
8/1/2021,34150
11/1/2021,33550
12/1/2021,34100
13/1/2021,33500
14/1/2021,35350
15/1/2021,36950
18/1/2021,36300
19/1/2021,33800
20/1/2021,33300
21/1/2021,34550
22/1/2021,33750
25/1/2021,33700
26/1/2021,32000
27/1/2021,29800
28/1/2021,27750
29/1/2021,28800
1/2/2021,26800
2/2/2021,27800
3/2/2021,29700
4/2/2021,29700
5/2/2021,31500
8/2/2021,30600
9/2/2021,31750
17/2/2021,33550
18/2/2021,33300
19/2/2021,33150
22/2/2021,32850
23/2/2021,33600
24/2/2021,33450
25/2/2021,33450
26/2/2021,33200
1/3/2021,35000
2/3/2021,35050
3/3/2021,34850
4/3/2021,33450
5/3/2021,33450
8/3/2021,33550
9/3/2021,33050
10/3/2021,33100
11/3/2021,33950
12/3/2021,33500
15/3/2021,33200
16/3/2021,32700
17/3/2021,32600
18/3/2021,33300
19/3/2021,33300
22/3/2021,33400
23/3/2021,32900
24/3/2021,31300
25/3/2021,30800
26/3/2021,30900
29/3/2021,31400
30/3/2021,31800
31/3/2021,31750
1/4/2021,33950
2/4/2021,34300
5/4/2021,35000
6/4/2021,35000
7/4/2021,35350
8/4/2021,35200
9/4/2021,35250
12/4/2021,36500
13/4/2021,35600
14/4/2021,35950
15/4/2021,34850
16/4/2021,34000
19/4/2021,34800
20/4/2021,34100
22/4/2021,31750
23/4/2021,33000
26/4/2021,31700
27/4/2021,31800
28/4/2021,32100
29/4/2021,32600
4/5/2021,32900
5/5/2021,33600
6/5/2021,32850
7/5/2021,32700
10/5/2021,34700
11/5/2021,34200
12/5/2021,34800
13/5/2021,35050
14/5/2021,35300
17/5/2021,35450
18/5/2021,35250
19/5/2021,36000
20/5/2021,38500
21/5/2021,39000
24/5/2021,39800
25/5/2021,40900
26/5/2021,40950
27/5/2021,39600
28/5/2021,41800
31/5/2021,44400
1/6/2021,43700
2/6/2021,46000
3/6/2021,48900
4/6/2021,48750
7/6/2021,47150
8/6/2021,44000
9/6/2021,46700
10/6/2021,47000
11/6/2021,50100
14/6/2021,53000
15/6/2021,52000
16/6/2021,49400
17/6/2021,50500
18/6/2021,50500
21/6/2021,49000
22/6/2021,49500
23/6/2021,49900
24/6/2021,50200
25/6/2021,53700
28/6/2021,53900
29/6/2021,54600
30/6/2021,55000
1/7/2021,57500
2/7/2021,57900
5/7/2021,56500
6/7/2021,52600
7/7/2021,54500
8/7/2021,54400
9/7/2021,52600
12/7/2021,49500
13/7/2021,51800
14/7/2021,51000
15/7/2021,53700
16/7/2021,52800
19/7/2021,49300
20/7/2021,52700
21/7/2021,51500
22/7/2021,52200
23/7/2021,50600
26/7/2021,50800
27/7/2021,52000
28/7/2021,52400
29/7/2021,54000
30/7/2021,54600
2/8/2021,55000
3/8/2021,56500
4/8/2021,56800
5/8/2021,57500
6/8/2021,56400
9/8/2021,59300
10/8/2021,59400
11/8/2021,57700
12/8/2021,57700
13/8/2021,59000
16/8/2021,62100
17/8/2021,61300
18/8/2021,60200
19/8/2021,62700
20/8/2021,62500
23/8/2021,63400
24/8/2021,61200
25/8/2021,62000
26/8/2021,61100
27/8/2021,61200
30/8/2021,62400
31/8/2021,61800
1/9/2021,61200
6/9/2021,60000
7/9/2021,60400
8/9/2021,44250
9/9/2021,43950
10/9/2021,43800
13/9/2021,43600
14/9/2021,42500
15/9/2021,42900
16/9/2021,42500
17/9/2021,43000
20/9/2021,42800
21/9/2021,42100
22/9/2021,41800
23/9/2021,41900
24/9/2021,41800
27/9/2021,40000
28/9/2021,40600
29/9/2021,40100
30/9/2021,40650
1/10/2021,39200
4/10/2021,38600
5/10/2021,40400
6/10/2021,39950
7/10/2021,40700
8/10/2021,40850
11/10/2021,41900
12/10/2021,41400
13/10/2021,41000
14/10/2021,41000
15/10/2021,40750
